metabolites,pathway
HMDB0000082,KEGG_PYRIMIDINE_METABOLISM
HMDB0000082,KEGG_PURINE_METABOLISM
HMDB0000082,KEGG_GALACTOSE_METABOLISM
HMDB0000082,KEGG_GLYCOLYSIS_GLUCONEOGENESIS
HMDB0000082,KEGG_PENTOSE_PHOSPHATE_PATHWAY
HMDB0000082,KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM
HMDB0000082,KEGG_TYPE_II_DIABETES_MELLITUS
HMDB0000082,KEGG_INSULIN_SIGNALING_PATHWAY
HMDB0000082,KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG
HMDB0000082,KEGG_PYRUVATE_METABOLISM
HMDB0000082,KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS
HMDB0000082,KEGG_GLUTATHIONE_METABOLISM
HMDB0000082,KEGG_P53_SIGNALING_PATHWAY
HMDB0000085,KEGG_PURINE_METABOLISM
HMDB0000085,KEGG_PYRIMIDINE_METABOLISM
HMDB0000085,KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM
HMDB0000086,KEGG_ETHER_LIPID_METABOLISM
HMDB0000086,KEGG_LINOLEIC_ACID_METABOLISM
HMDB0000086,KEGG_ARACHIDONIC_ACID_METABOLISM
HMDB0000086,KEGG_LONG_TERM_DEPRESSION
HMDB0000086,KEGG_GLYCEROPHOSPHOLIPID_METABOLISM
HMDB0000086,KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION
HMDB0000086,KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS
HMDB0000086,KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY
HMDB0000086,KEGG_VEGF_SIGNALING_PATHWAY
HMDB0000086,KEGG_MAPK_SIGNALING_PATHWAY
HMDB0000086,KEGG_GNRH_SIGNALING_PATHWAY
HMDB0000086,KEGG_ALPHA_LINOLENIC_ACID_METABOLISM
HMDB0000089,KEGG_PRIMARY_IMMUNODEFICIENCY
HMDB0000089,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION
HMDB0000089,KEGG_DRUG_METABOLISM_OTHER_ENZYMES
HMDB0000089,KEGG_PYRIMIDINE_METABOLISM
HMDB0000089,KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM
HMDB0000089,KEGG_PURINE_METABOLISM
HMDB0000089,KEGG_RIBOFLAVIN_METABOLISM
HMDB0000089,KEGG_LYSOSOME
HMDB0000092,KEGG_CYSTEINE_AND_METHIONINE_METABOLISM
HMDB0000092,KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM
HMDB0000094,KEGG_CITRATE_CYCLE_TCA_CYCLE
HMDB0000094,KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM
HMDB0000095,KEGG_PURINE_METABOLISM
HMDB0000095,KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM
HMDB0000095,KEGG_GLYCEROPHOSPHOLIPID_METABOLISM
HMDB0000095,KEGG_INOSITOL_PHOSPHATE_METABOLISM
HMDB0000095,KEGG_ETHER_LIPID_METABOLISM
HMDB0000095,KEGG_PYRIMIDINE_METABOLISM
HMDB0000095,KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM
HMDB0000095,KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS
HMDB0000095,KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES
HMDB0000095,KEGG_O_GLYCAN_BIOSYNTHESIS
HMDB0000095,KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE
HMDB0000095,KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES
HMDB0000095,KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES
HMDB0000095,KEGG_DRUG_METABOLISM_OTHER_ENZYMES
HMDB0000095,KEGG_RIBOFLAVIN_METABOLISM
HMDB0000095,KEGG_LYSOSOME
HMDB0000097,KEGG_GLYCEROPHOSPHOLIPID_METABOLISM
HMDB0000097,KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM
HMDB0000097,KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS
HMDB0000097,KEGG_PATHWAYS_IN_CANCER
HMDB0000097,KEGG_ENDOCYTOSIS
HMDB0000097,KEGG_PANCREATIC_CANCER
HMDB0000097,KEGG_GNRH_SIGNALING_PATHWAY
HMDB0000097,KEGG_ETHER_LIPID_METABOLISM
HMDB0000098,KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM
HMDB0000098,KEGG_GALACTOSE_METABOLISM
HMDB0000098,KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS
HMDB0000098,KEGG_PYRUVATE_METABOLISM
HMDB0000098,KEGG_GLYCEROLIPID_METABOLISM
HMDB0000098,KEGG_LINOLEIC_ACID_METABOLISM
HMDB0000098,KEGG_BUTANOATE_METABOLISM
HMDB0000099,KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM
HMDB0000099,KEGG_CYSTEINE_AND_METHIONINE_METABOLISM
HMDB0000099,KEGG_SELENOAMINO_ACID_METABOLISM
HMDB0000099,KEGG_NITROGEN_METABOLISM
HMDB0000101,KEGG_PRIMARY_IMMUNODEFICIENCY
HMDB0000101,KEGG_PURINE_METABOLISM
