"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"HMDB0000054","Bilirubin","HMDB0000054","5280352","16990","C00486","81","CC1=C(C=C)\C(NC1=O)=C\C1=C(C)C(CCC(O)=O)=C(CC2=C(CCC(O)=O)C(C)=C(N2)\C=C2/NC(=O)C(C=C)=C2C)N1","1"
"HMDB0000056","beta-Alanine","HMDB0000056","239","16958","C00099","5119","NCCC(O)=O","1"
"HMDB0000058","Cyclic AMP","HMDB0000058","6076","17489","C00575","5120","[H][C@@]12COP(O)(=O)O[C@@]1([H])[C@@H](O)[C@@H](O2)N1C=NC2=C1N=CN=C2N","1"
"HMDB0000060","Acetoacetic acid","HMDB0000060","96","15344","C00164","276","CC(=O)CC(=O)O","1"
"HMDB0000061","Adenosine 3',5'-diphosphate","HMDB0000061","159296","17985","C00054",NA,"NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@H]1O","1"
"HMDB0000062","L-Carnitine","HMDB0000062","10917","16347","C00318","52","C[N+](C)(C)C[C@H](O)CC([O-])=O","1"
"HMDB0000063","Cortisol","HMDB0000063","657311",NA,"C00735","5124","C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@]4(C(=O)CO)O)C)O","1"
"HMDB0000064","Creatine","HMDB0000064","586","16919","C00300","7","CN(CC(O)=O)C(N)=N","1"
"HMDB00000648","NA","NA","NA","NA","NA","NA","NA","0"
"HMDB0000067","Cholesterol","HMDB0000067","5997","1307929","C00187","163","C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CCC(C4)O)C)C","1"
"HMDB0000068","Epinephrine","HMDB0000068","5816","28918","C00788","5127","CNC[C@H](O)C1=CC(O)=C(O)C=C1","1"
"HMDB0000071","Deoxyinosine","HMDB0000071","65058","28997","C05512","3383","OC[C@H]1O[C@H](C[C@@H]1O)N1C=NC2=C1N=CNC2=O","1"
"HMDB0000073","Dopamine","HMDB0000073","681","18243","C03758","64","NCCC1=CC(O)=C(O)C=C1","1"
"HMDB0000076","Dihydrouracil","HMDB0000076","649","15901","C00429","285","O=C1CCNC(=O)N1","1"
"HMDB0000077","Dehydroepiandrosterone","HMDB0000077","9860744","220467","C01227","5133","C[C@]12CCC3C(C1CCC2=O)CC=C4[C@@]3(CC[C@@H](C4)O)C","1"
"HMDB0000078","Cysteinylglycine","HMDB0000078","439498","4047","C01419","5134","N[C@@H](CS)C(=O)NCC(O)=O","1"
"HMDB0000079","Dihydrothymine","HMDB0000079","93556","27468","C00906","5135","CC1CNC(=O)NC1=O","1"
"HMDB0000082","Cytidine triphosphate","HMDB0000082","6176","17677","C00063","5136","NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O","1"
"HMDB0000085","Deoxyguanosine","HMDB0000085","187790","17172","C00330","3395","NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)N1","1"
"HMDB0000086","Glycerophosphocholine","HMDB0000086","71920","16870","C00670","370","C[N+](C)(C)CCOP(=O)([O-])OC[C@H](CO)O","1"
"HMDB0000089","Cytidine","HMDB0000089","6253","17562","C00475","3376","NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O","1"
"HMDB0000092","Dimethylglycine","HMDB0000092","673","17724","C01026","277","CN(C)CC(O)=O","1"
"HMDB0000094","Citric acid","HMDB0000094","311","30769","C00158","124","OC(=O)CC(O)(CC(O)=O)C(O)=O","1"
"HMDB0000095","Cytidine monophosphate","HMDB0000095","6131","17361","C00055","5143","NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O","1"
"HMDB0000097","Choline","HMDB0000097","305","15354","C00114","56","C[N+](C)(C)CCO","1"
"HMDB0000099","L-Cystathionine","HMDB0000099","439258","17482","C02291","39","N[C@@H](CCSC[C@H](N)C(O)=O)C(O)=O","1"
"HMDB0000101","Deoxyadenosine","HMDB0000101","13730","17256","C00559","3382","NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC=N1","1"
"HMDB0000107","Galactitol","HMDB0000107","11850","16813","C01697","5148","OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO","1"
"HMDB0000108","Ethanol","HMDB0000108","702","16236","C00469","3203","CCO","1"
"HMDB0000112","Gamma-Aminobutyric acid","HMDB0000112","223130","16865","C00334",NA,"NCCCC(=O)O","1"
"HMDB0000115","Glycolic acid","HMDB0000115","757","17497","C03547","3219","OCC(O)=O","1"
"HMDB0000117","NA","NA","NA","NA","NA","NA","NA","0"
"HMDB0000118","Homovanillic acid","HMDB0000118","1738","545959","C05582","971","COC1=CC(CC(O)=O)=CC=C1O","1"
"HMDB0000119","Glyoxylic acid","HMDB0000119","760","16891","C00048","3213","OC(=O)C=O","1"
"HMDB0000121","Folic acid","HMDB0000121","6037","27470","C00504","246","NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1","1"
"HMDB0000122","D-Glucose","HMDB0000122","5793","4167","C00221","133","OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O","1"
"HMDB0000123","Glycine","HMDB0000123","750","15428","C00037","20","NCC(O)=O","1"
"HMDB0000125","NA","NA","NA","NA","NA","NA","NA","0"
"HMDB0000127","Glucuronic acid","HMDB0000127","94715","42717","C00191","161","O[C@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C(O)=O","1"
"HMDB0000128","Guanidoacetic acid","HMDB0000128","763","16344","C00581","5163","NC(=N)NCC(O)=O","1"
"HMDB0000130","Homogentisic acid","HMDB0000130","780","44747","C00544","331","OC(=O)CC1=C(O)C=CC(O)=C1","1"
"HMDB0000131","Glycerol","HMDB0000131","753","17754","C00116","105","OCC(O)CO","1"
"HMDB0000132","Guanine","HMDB0000132","764","16235","C00242","315","NC1=NC(=O)C2=C(N1)N=CN2","1"
"HMDB0000133","Guanosine","HMDB0000133","6802","16750","C00387","87","NC1=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)N1","1"
"HMDB0000134","Fumaric acid","HMDB0000134","444972","18012","C00122","3242","OC(=O)\C=C\C(O)=O","1"
"HMDB0000138","Glycocholic acid","HMDB0000138","23617285","29746","C01921","5169","C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](CC4[C@@]3(CC[C@H](C4)O)C)O)O)C","1"
"HMDB0000139","Glyceric acid","HMDB0000139","439194","32398","C00258","280","OC[C@@H](O)C(O)=O","1"
"HMDB0000142","Formic acid","HMDB0000142","284","30751","C00058","3202","OC=O","1"
"HMDB0000143","D-Galactose","HMDB0000143","439357","28061","C00984","134","OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O","1"
"HMDB0000145","Estrone","HMDB0000145","5870","17263","C00468","264","C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=C3C=CC(=C4)O","1"
"HMDB0000148","L-Glutamic acid","HMDB0000148","33032","16015","C00025","5174","N[C@@H](CCC(O)=O)C(O)=O","1"
"HMDB0000149","Ethanolamine","HMDB0000149","700","16000","C00189","3207","NCCO","1"
"HMDB0000151","Estradiol","HMDB0000151","5757","16469","C00951","263","C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O","1"
"HMDB0000152","Gentisic acid","HMDB0000152","3469","17189","C00628","618","OC(=O)C1=C(O)C=CC(O)=C1","1"
"HMDB0000153","Estriol","HMDB0000153","5756","27974","C05141","2581","C[C@]12CC[C@H]3[C@H]([C@@H]1C[C@H]([C@@H]2O)O)CCC4=C3C=CC(=C4)O","1"
"HMDB0000156","L-Malic acid","HMDB0000156","222656","30797","C00149",NA,"O[C@@H](CC(O)=O)C(O)=O","1"
"HMDB0000157","Hypoxanthine","HMDB0000157","790","17368","C00262","83","OC1=NC=NC2=C1NC=N2","1"
"HMDB0000158","L-Tyrosine","HMDB0000158","6057","17895","C00082","34","N[C@@H](CC1=CC=C(O)C=C1)C(O)=O","1"
"HMDB0000159","L-Phenylalanine","HMDB0000159","6140","17295","C00079","28","N[C@@H](CC1=CC=CC=C1)C(O)=O","1"
"HMDB0000161","L-Alanine","HMDB0000161","5950","16977","C00041",NA,"C[C@H](N)C(O)=O","1"
"HMDB0000162","L-Proline","HMDB0000162","145742","17203","C00148","29","OC(=O)[C@@H]1CCCN1","1"
"HMDB0000163","D-Maltose","HMDB0000163","10991489","47937","C00208","413","OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O","1"
"HMDB0000164","Methylamine","HMDB0000164","6329","16830","C00218","3767","CN","1"
"HMDB0000167","L-Threonine","HMDB0000167","6288","16857","C00188","32","C[C@@H](O)[C@H](N)C(O)=O","1"
"HMDB0000168","L-Asparagine","HMDB0000168","6267","17196","C00152","14","N[C@@H](CC(N)=O)C(O)=O","1"
"HMDB0000169","D-Mannose","HMDB0000169","18950","4208","C00936",NA,"OC[C@H]1O[C@H](O)[C@@H](O)[C@@H](O)[C@@H]1O","1"
"HMDB0000172","L-Isoleucine","HMDB0000172","6306","17191","C00407","5193","CC[C@H](C)[C@@H](C(=O)O)N","1"
"HMDB0000174","L-Fucose","HMDB0000174","25310","62346","C01019","5812","C[C@H]1[C@H]([C@H]([C@@H](C(O1)O)O)O)O","1"
"HMDB0000175","Inosinic acid","HMDB0000175","8582","17202","C00130","5196","O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CNC2=O","1"
"HMDB0000177","L-Histidine","HMDB0000177","6274","15971","C00135","21","N[C@@H](CC1=CN=CN1)C(O)=O","1"
"HMDB0000181","L-Dopa","HMDB0000181","6047","15765","C00355","42","N[C@@H](CC1=CC=C(O)C(O)=C1)C(O)=O","1"
"HMDB0000182","L-Lysine","HMDB0000182","5962","18019","C00047","5200","NCCCC[C@H](N)C(O)=O","1"
"HMDB0000186","Alpha-Lactose","HMDB0000186","84571","36219","C00243","267","OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O","1"
"HMDB0000187","L-Serine","HMDB0000187","5951","17115","C00065","5203","N[C@@H](CO)C(O)=O","1"
"HMDB0000189","ITP","HMDB0000189","8583","16039","C00081","5204","O[C@@H]1[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CN=C2O","1"
"HMDB0000190","L-Lactic acid","HMDB0000190","107689","422","C00186","5205","C[C@H](O)C(O)=O","1"
"HMDB0000191","L-Aspartic acid","HMDB0000191","5960","17053","C00049","5206","N[C@@H](CC(O)=O)C(O)=O","1"
"HMDB0000192","L-Cystine","HMDB0000192","67678","16283","C00491","5207","N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O","1"
"HMDB0000193","Isocitric acid","HMDB0000193","1198","30887","C00311","3328","OC(C(CC(O)=O)C(O)=O)C(O)=O","1"
"HMDB0000195","Inosine","HMDB0000195","6021","17596","C00294","84","OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(O)N=CN=C12","1"
"HMDB0000197","Indoleacetic acid","HMDB0000197","802","16411","C00954","5211","OC(=O)CC1=CNC2=C1C=CC=C2","1"
"HMDB0000201","L-Acetylcarnitine","HMDB0000201","7045767",NA,"C02571","5213","CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C","1"
"HMDB0000202","Methylmalonic acid","HMDB0000202","487","30860","C02170","3712","CC(C(=O)O)C(=O)O","1"
"HMDB0000205","Phenylpyruvic acid","HMDB0000205","997","30851","C00166","328","OC(=O)C(=O)CC1=CC=CC=C1","1"
"HMDB0000207","Oleic acid","HMDB0000207","445639","16196","C00712","190","CCCCCCCC/C=C\CCCCCCCC(=O)O","1"
"HMDB0000208","Oxoglutaric acid","HMDB0000208","51","30915","C00026","5218","OC(=O)CCC(=O)C(O)=O","1"
"HMDB0000209","Phenylacetic acid","HMDB0000209","999","30745","C07086","129","OC(=O)CC1=CC=CC=C1","1"
"HMDB0000210","Pantothenic acid","HMDB0000210","6613","46905","C00864",NA,"CC(C)(CO)[C@@H](O)C(=O)NCCC(O)=O","1"
"HMDB0000211","myo-Inositol","HMDB0000211",NA,"17268","C00137","5221","O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O","1"
"HMDB0000214","Ornithine","HMDB0000214","6262","15729","C00077","27","NCCC[C@H](N)C(O)=O","1"
"HMDB0000215","N-Acetyl-D-glucosamine","HMDB0000215","439174","506227","C00140","3356","CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O","1"
"HMDB0000216","Norepinephrine","HMDB0000216","439260","18357","C00547","5226","NC[C@H](O)C1=CC(O)=C(O)C=C1","1"
"HMDB0000217","NADPH","HMDB0000217","5886","44409","C00006","5227","NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](COP([O-])(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](OP(O)(O)=O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O","1"
"HMDB0000218","Orotidylic acid","HMDB0000218","160617","15842","C01103","5228","O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C(=O)NC(=O)C=C1C(O)=O","1"
"HMDB0000220","Palmitic acid","HMDB0000220","985","15756","C00249","187","CCCCCCCCCCCCCCCC(=O)O","1"
"HMDB0000221","NA","NA","NA","NA","NA","NA","NA","0"
"HMDB0000222","L-Palmitoylcarnitine","HMDB0000222","11953816","17490","C02990","5231","CCCCCCCCCCCCCCCC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C","1"
"HMDB0000223","Oxalacetic acid","HMDB0000223","970","30744","C00036","123","O=C(O)CC(=O)C(=O)O","1"
"HMDB0000224","O-Phosphoethanolamine","HMDB0000224","1015","17553","C00346","5233","NCCOP(O)(O)=O","1"
"HMDB0000225","Oxoadipic acid","HMDB0000225","71","15753","C00322","5234","O=C(O)CCCC(=O)C(=O)O","1"
"HMDB0000226","Orotic acid","HMDB0000226","967","16742","C00295","318","OC(=O)C1=CC(=O)NC(=O)N1","1"
"HMDB0000227","Mevalonic acid","HMDB0000227","449","25351","C00418","127","CC(CCO)(CC(=O)O)O","1"
"HMDB0000229","Nicotinamide ribotide","HMDB0000229","14180","16171","C00455","5238","NC(=O)C1=CC=C[N+](=C1)[C@@H]1O[C@H](COP(O)([O-])=O)[C@@H](O)[C@H]1O","1"
"HMDB0000230","N-Acetylneuraminic acid","HMDB0000230","445063","45744","C19910","3321","[H][C@]1(O[C@@](O)(C[C@H](O)[C@H]1NC(C)=O)C(O)=O)[C@H](O)[C@H](O)CO","1"
"HMDB0000232","Quinolinic acid","HMDB0000232","1066","16675","C03722","330","OC(=O)C1=CC=CN=C1C(O)=O","1"
"HMDB0000234","Testosterone","HMDB0000234","6013","17347","C00535","390","C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@]34C","1"
"HMDB0000235","Thiamine","HMDB0000235","1130","18385","C00378","5242","CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N","1"
"HMDB0000237","Propionic acid","HMDB0000237","1032","30768","C00163","3215","CCC(=O)O","1"
"HMDB0000239","Pyridoxine","HMDB0000239","1054","16709","C00314","5245","CC1=C(O)C(CO)=C(CO)C=N1","1"
"HMDB0000241","Protoporphyrin IX","HMDB0000241",NA,"15430","C02191","4158","CC1=C(CCC(O)=O)/C2=C/C3=N/C(=C\C4=C(C)C(C=C)=C(N4)/C=C4\N=C(\C=C\1/N\2)C(C=C)=C4C)/C(C)=C3CCC(O)=O","1"
"HMDB0000243","Pyruvic acid","HMDB0000243","1060","32816","C00022","117","CC(=O)C(=O)O","1"
"HMDB0000244","Riboflavin","HMDB0000244","493570","17015","C00255","5249","CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1","1"
"HMDB0000245","Porphobilinogen","HMDB0000245","1021","17381","C00931","76","NCC1=C(CC(O)=O)C(CCC(O)=O)=CN1","1"
"HMDB0000247","Sorbitol","HMDB0000247","5780","17924","C00794","143","OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO","1"
"HMDB0000248","Thyroxine","HMDB0000248","5819","18332","C01829","439","N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O","1"
"HMDB0000250","Pyrophosphate","HMDB0000250","1023","29888","C00013","3306","OP(O)(=O)OP(O)(O)=O","1"
"HMDB0000251","Taurine","HMDB0000251","1123","15891","C00245","31","NCCS(O)(=O)=O","1"
"HMDB0000252","Sphingosine","HMDB0000252","5353955","16393","C00319","392","CCCCCCCCCCCCC/C=C/C(C(CO)N)O","1"
"HMDB0000253","Pregnenolone","HMDB0000253","53477678","16581","C01953","5257","CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3C2CC=C4[C@@]3(CC[C@H](C4)O)C)C","1"
"HMDB0000254","Succinic acid","HMDB0000254","1110","15741","C00042","114","O=C(O)CCC(=O)O","1"
"HMDB0000256","Squalene","HMDB0000256","11975273","15440","C00751","197","CC(=CCC/C(=C/CC/C(=C/CC/C=C(\C)/CC/C=C(/C)\CCC=C(C)C)/C)/C)C","1"
"HMDB0000257","Thiosulfate","HMDB0000257","1085","5587","C05529","5260","OS(S)(=O)=O","1"
"HMDB0000258","Sucrose","HMDB0000258","5988","17992","C00089","137","OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O","1"
"HMDB0000259","Serotonin","HMDB0000259","5202","28790","C00780","74","NCCC1=CNC2=C1C=C(O)C=C2","1"
"HMDB0000262","Thymine","HMDB0000262","1135","17821","C00178","290","CC1=CNC(=O)NC1=O","1"
"HMDB0000263","Phosphoenolpyruvic acid","HMDB0000263","1005","44897","C00074","5264","OC(=O)C(=C)OP(O)(O)=O","1"
"HMDB0000265","Liothyronine","HMDB0000265","5920","18258","C02465","5265","N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O","1"
"HMDB0000267","Pyroglutamic acid","HMDB0000267","7405","18183","C01879","3251","OC(=O)[C@@H]1CCC(=O)N1","1"
"HMDB0000269","Sphinganine","HMDB0000269","91486","16566","C00836","5268","CCCCCCCCCCCCCCC[C@H]([C@H](CO)N)O","1"
"HMDB0000271","Sarcosine","HMDB0000271","1088","15611","C00213","51","CNCC(O)=O","1"
"HMDB0000272","Phosphoserine","HMDB0000272","68841","15811","C01005","5270","N[C@@H](COP(O)(O)=O)C(O)=O","1"
"HMDB0000273","Thymidine","HMDB0000273","5789","17748","C00214","3375","CC1=CN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)NC1=O","1"
"HMDB0000283","D-Ribose","HMDB0000283","5779","47013","C00121","313","OC[C@H]1OC(O)[C@H](O)[C@@H]1O","1"
"HMDB0000285","Uridine triphosphate","HMDB0000285","6133","15713","C00075","5277","O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(=O)OP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O","1"
"HMDB0000288","Uridine 5'-monophosphate","HMDB0000288","6030","16695","C00105",NA,"O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C=CC(=O)NC1=O","1"
"HMDB0000289","Uric acid","HMDB0000289","1175","17775","C00366","88","O=C1NC2=C(N1)C(=O)NC(=O)N2","1"
"HMDB0000291","Vanillylmandelic acid","HMDB0000291","736172","1127735","C05584","697","COC1=C(O)C=CC(=C1)[C@H](O)C(O)=O","1"
"HMDB0000292","Xanthine","HMDB0000292","1188","17712","C00385","82","O=C1NC2=C(NC=N2)C(=O)N1","1"
"HMDB0000294","Urea","HMDB0000294","1176","16199","C00086","6","NC(N)=O","1"
"HMDB0000295","Uridine 5'-diphosphate","HMDB0000295","6031","17659","C00015",NA,"O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O","1"
"HMDB0000296","Uridine","HMDB0000296","6029","16704","C00299","90","OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O","1"
"HMDB0000299","Xanthosine","HMDB0000299","64959","18107","C01762","3408","OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=C(O)N=C2O","1"
"HMDB0000300","Uracil","HMDB0000300","1174","17568","C00106","258","O=C1NC=CC(=O)N1","1"
"HMDB0000301","Urocanic acid","HMDB0000301","736715","30817","C00785","298","OC(=O)\C=C\C1=CNC=N1","1"
"HMDB0000302","Uridine diphosphategalactose","HMDB0000302","18068","67119","C00052","5291","OC[C@H]1O[C@H](O[P@@](O)(=O)O[P@@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@H]1O","1"
"HMDB0000303","Tryptamine","HMDB0000303","1150","16765","C00398","325","NCCC1=CNC2=C1C=CC=C2","1"
"HMDB0000305","Vitamin A","HMDB0000305","445354","17336","C17276",NA,"CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/CO)/C)/C","1"
"HMDB0000306","Tyramine","HMDB0000306","5610","15760","C00483","60","NCCC1=CC=C(O)C=C1","1"
"HMDB0000318","3,4-Dihydroxyphenylglycol","HMDB0000318","91528","1387","C05576","5307","OCC(O)C1=CC(O)=C(O)C=C1","1"
"HMDB0000335","16a-Hydroxyestrone","HMDB0000335","115116","776","C05300","2580","C[C@]12CC[C@H]3[C@H]([C@@H]1C[C@H](C2=O)O)CCC4=C3C=CC(=C4)O","1"
"HMDB0000338","2-Hydroxyestradiol","HMDB0000338","247304","28744","C05301","5327","C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)O)O","1"
"HMDB0000339","2-Methylbutyrylglycine","HMDB0000339","193872","86366",NA,"5328","CCC(C)C(=O)NCC(O)=O","1"
"HMDB0000343","2-Hydroxyestrone","HMDB0000343","440623","1156","C05298","2579","C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=CC(=C(C=C34)O)O","1"
