metabs,BIGG,HMDB_comp,name,formula,formula_det,inchi,super_class,class,sub_class,CID
HMDB0000012,duri_n,HMDB0000012_n,Deoxyuridine,C9H12N2O5,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(N2C([H])=C([H])C(=O)N([H])C2=O)C([H])([H])[C@]1([H])O[H],"InChI=1S/C9H12N2O5/c12-4-6-5(13)3-8(16-6)11-2-1-7(14)10-9(11)15/h1-2,5-6,8,12-13H,3-4H2,(H,10,14,15)/t5-,6+,8+/m0/s1","Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,Pyrimidine 2'-deoxyribonucleosides,NA
HMDB0000012,duri_e,HMDB0000012_e,Deoxyuridine,C9H12N2O5,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(N2C([H])=C([H])C(=O)N([H])C2=O)C([H])([H])[C@]1([H])O[H],"InChI=1S/C9H12N2O5/c12-4-6-5(13)3-8(16-6)11-2-1-7(14)10-9(11)15/h1-2,5-6,8,12-13H,3-4H2,(H,10,14,15)/t5-,6+,8+/m0/s1","Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,Pyrimidine 2'-deoxyribonucleosides,NA
HMDB0000012,duri_m,HMDB0000012_m,Deoxyuridine,C9H12N2O5,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(N2C([H])=C([H])C(=O)N([H])C2=O)C([H])([H])[C@]1([H])O[H],"InChI=1S/C9H12N2O5/c12-4-6-5(13)3-8(16-6)11-2-1-7(14)10-9(11)15/h1-2,5-6,8,12-13H,3-4H2,(H,10,14,15)/t5-,6+,8+/m0/s1","Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,Pyrimidine 2'-deoxyribonucleosides,NA
HMDB0000014,dcyt_m,HMDB0000014_m,Deoxycytidine,C9H13N3O4,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(N2C([H])=C([H])C(=NC2=O)N([H])[H])C([H])([H])[C@]1([H])O[H],"InChI=1S/C9H13N3O4/c10-7-1-2-12(9(15)11-7)8-3-5(14)6(4-13)16-8/h1-2,5-6,8,13-14H,3-4H2,(H2,10,11,15)/t5-,6+,8+/m0/s1","Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,Pyrimidine 2'-deoxyribonucleosides,NA
HMDB0000014,dcyt_n,HMDB0000014_n,Deoxycytidine,C9H13N3O4,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(N2C([H])=C([H])C(=NC2=O)N([H])[H])C([H])([H])[C@]1([H])O[H],"InChI=1S/C9H13N3O4/c10-7-1-2-12(9(15)11-7)8-3-5(14)6(4-13)16-8/h1-2,5-6,8,13-14H,3-4H2,(H2,10,11,15)/t5-,6+,8+/m0/s1","Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,Pyrimidine 2'-deoxyribonucleosides,NA
HMDB0000014,dcyt_e,HMDB0000014_e,Deoxycytidine,C9H13N3O4,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(N2C([H])=C([H])C(=NC2=O)N([H])[H])C([H])([H])[C@]1([H])O[H],"InChI=1S/C9H13N3O4/c10-7-1-2-12(9(15)11-7)8-3-5(14)6(4-13)16-8/h1-2,5-6,8,13-14H,3-4H2,(H2,10,11,15)/t5-,6+,8+/m0/s1","Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,Pyrimidine 2'-deoxyribonucleosides,NA
HMDB0000014,dcyt_c,HMDB0000014_c,Deoxycytidine,C9H13N3O4,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(N2C([H])=C([H])C(=NC2=O)N([H])[H])C([H])([H])[C@]1([H])O[H],"InChI=1S/C9H13N3O4/c10-7-1-2-12(9(15)11-7)8-3-5(14)6(4-13)16-8/h1-2,5-6,8,13-14H,3-4H2,(H2,10,11,15)/t5-,6+,8+/m0/s1","Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,Pyrimidine 2'-deoxyribonucleosides,NA
HMDB0000015,11docrtsl_r,HMDB0000015_r,11-Deoxycortisol,C21H30O4,[H]OC([H])([H])C(=O)[C@@]1(O[H])C([H])([H])C([H])([H])[C@@]2([H])[C@]3([H])C([H])([H])C([H])([H])C4=C([H])C(=O)C([H])([H])C([H])([H])[C@]4(C([H])([H])[H])[C@@]3([H])C([H])([H])C([H])([H])[C@]12C([H])([H])[H],"InChI=1S/C21H30O4/c1-19-8-5-14(23)11-13(19)3-4-15-16(19)6-9-20(2)17(15)7-10-21(20,25)18(24)12-22/h11,15-17,22,25H,3-10,12H2,1-2H3/t15-,16+,17+,19+,20+,21+/m1/s1",Lipids and lipid-like molecules,Steroids and steroid derivatives,Hydroxysteroids,440707
HMDB0000015,11docrtsl_e,HMDB0000015_e,11-Deoxycortisol,C21H30O4,[H]OC([H])([H])C(=O)[C@@]1(O[H])C([H])([H])C([H])([H])[C@@]2([H])[C@]3([H])C([H])([H])C([H])([H])C4=C([H])C(=O)C([H])([H])C([H])([H])[C@]4(C([H])([H])[H])[C@@]3([H])C([H])([H])C([H])([H])[C@]12C([H])([H])[H],"InChI=1S/C21H30O4/c1-19-8-5-14(23)11-13(19)3-4-15-16(19)6-9-20(2)17(15)7-10-21(20,25)18(24)12-22/h11,15-17,22,25H,3-10,12H2,1-2H3/t15-,16+,17+,19+,20+,21+/m1/s1",Lipids and lipid-like molecules,Steroids and steroid derivatives,Hydroxysteroids,440707
HMDB0000015,11docrtsl_c,HMDB0000015_c,11-Deoxycortisol,C21H30O4,[H]OC([H])([H])C(=O)[C@@]1(O[H])C([H])([H])C([H])([H])[C@@]2([H])[C@]3([H])C([H])([H])C([H])([H])C4=C([H])C(=O)C([H])([H])C([H])([H])[C@]4(C([H])([H])[H])[C@@]3([H])C([H])([H])C([H])([H])[C@]12C([H])([H])[H],"InChI=1S/C21H30O4/c1-19-8-5-14(23)11-13(19)3-4-15-16(19)6-9-20(2)17(15)7-10-21(20,25)18(24)12-22/h11,15-17,22,25H,3-10,12H2,1-2H3/t15-,16+,17+,19+,20+,21+/m1/s1",Lipids and lipid-like molecules,Steroids and steroid derivatives,Hydroxysteroids,440707
HMDB0000015,11docrtsl_m,HMDB0000015_m,11-Deoxycortisol,C21H30O4,[H]OC([H])([H])C(=O)[C@@]1(O[H])C([H])([H])C([H])([H])[C@@]2([H])[C@]3([H])C([H])([H])C([H])([H])C4=C([H])C(=O)C([H])([H])C([H])([H])[C@]4(C([H])([H])[H])[C@@]3([H])C([H])([H])C([H])([H])[C@]12C([H])([H])[H],"InChI=1S/C21H30O4/c1-19-8-5-14(23)11-13(19)3-4-15-16(19)6-9-20(2)17(15)7-10-21(20,25)18(24)12-22/h11,15-17,22,25H,3-10,12H2,1-2H3/t15-,16+,17+,19+,20+,21+/m1/s1",Lipids and lipid-like molecules,Steroids and steroid derivatives,Hydroxysteroids,440707
HMDB0000017,4pyrdx_c,HMDB0000017_c,4-Pyridoxate,C8H9NO4,[H]OC1=C([N+]([H])=C([H])C(=C1C([O-])=O)C([H])([H])O[H])C([H])([H])[H],"InChI=1S/C8H9NO4/c1-4-7(11)6(8(12)13)5(3-10)2-9-4/h2,10-11H,3H2,1H3,(H,12,13)",Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives,NA
HMDB0000017,4pyrdx_e,HMDB0000017_e,4-Pyridoxate,C8H9NO4,[H]OC1=C([N+]([H])=C([H])C(=C1C([O-])=O)C([H])([H])O[H])C([H])([H])[H],"InChI=1S/C8H9NO4/c1-4-7(11)6(8(12)13)5(3-10)2-9-4/h2,10-11H,3H2,1H3,(H,12,13)",Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives,NA
HMDB0000019,3mob_m,HMDB0000019_m,3-Methyl-2-Oxobutanoate,C5H7O3,[H]C([H])([H])C([H])(C(=O)C([O-])=O)C([H])([H])[H],"InChI=1S/C5H8O3/c1-3(2)4(6)5(7)8/h3H,1-2H3,(H,7,8)/p-1",Organic acids and derivatives,Keto acids and derivatives,Short-chain keto acids and derivatives,NA
HMDB0000019,3mob_m,HMDB0000019_m,3-Methyl-2-Oxobutanoate,C5H7O3,[H]C([H])([H])C([H])(C(=O)C([O-])=O)C([H])([H])[H],"InChI=1S/C5H8O3/c1-3(2)4(6)5(7)8/h3H,1-2H3,(H,7,8)/p-1",Organic acids and derivatives,Keto acids and derivatives,Short-chain keto acids and derivatives,49
HMDB0000019,3mob_c,HMDB0000019_c,3-Methyl-2-Oxobutanoate,C5H7O3,[H]C([H])([H])C([H])(C(=O)C([O-])=O)C([H])([H])[H],"InChI=1S/C5H8O3/c1-3(2)4(6)5(7)8/h3H,1-2H3,(H,7,8)/p-1",Organic acids and derivatives,Keto acids and derivatives,Short-chain keto acids and derivatives,NA
HMDB0000019,3mob_c,HMDB0000019_c,3-Methyl-2-Oxobutanoate,C5H7O3,[H]C([H])([H])C([H])(C(=O)C([O-])=O)C([H])([H])[H],"InChI=1S/C5H8O3/c1-3(2)4(6)5(7)8/h3H,1-2H3,(H,7,8)/p-1",Organic acids and derivatives,Keto acids and derivatives,Short-chain keto acids and derivatives,49
HMDB0000019,3mob_e,HMDB0000019_e,3-Methyl-2-Oxobutanoate,C5H7O3,[H]C([H])([H])C([H])(C(=O)C([O-])=O)C([H])([H])[H],"InChI=1S/C5H8O3/c1-3(2)4(6)5(7)8/h3H,1-2H3,(H,7,8)/p-1",Organic acids and derivatives,Keto acids and derivatives,Short-chain keto acids and derivatives,NA
HMDB0000019,3mob_e,HMDB0000019_e,3-Methyl-2-Oxobutanoate,C5H7O3,[H]C([H])([H])C([H])(C(=O)C([O-])=O)C([H])([H])[H],"InChI=1S/C5H8O3/c1-3(2)4(6)5(7)8/h3H,1-2H3,(H,7,8)/p-1",Organic acids and derivatives,Keto acids and derivatives,Short-chain keto acids and derivatives,49
HMDB0000020,4hphac_e,HMDB0000020_e,4-Hydroxyphenylacetate,C8H7O3,[H]OC1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])C([O-])=O,"InChI=1S/C8H8O3/c9-7-3-1-6(2-4-7)5-8(10)11/h1-4,9H,5H2,(H,10,11)/p-1",Benzenoids,Phenols,1-hydroxy-2-unsubstituted benzenoids,127
HMDB0000020,4hphac_c,HMDB0000020_c,4-Hydroxyphenylacetate,C8H7O3,[H]OC1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])C([O-])=O,"InChI=1S/C8H8O3/c9-7-3-1-6(2-4-7)5-8(10)11/h1-4,9H,5H2,(H,10,11)/p-1",Benzenoids,Phenols,1-hydroxy-2-unsubstituted benzenoids,127
HMDB0000022,3moxtyr_c,HMDB0000022_c,3-Methoxytyramine,C9H14NO2,[H]OC1=C([H])C([H])=C(C([H])=C1OC([H])([H])[H])C([H])([H])C([H])([H])N([H])[H],"InChI=1S/C9H13NO2/c1-12-9-6-7(4-5-10)2-3-8(9)11/h2-3,6,11H,4-5,10H2,1H3",Benzenoids,Phenols,Methoxyphenols,NA
HMDB0000022,3moxtyr_e,HMDB0000022_e,3-Methoxytyramine,C9H14NO2,[H]OC1=C([H])C([H])=C(C([H])=C1OC([H])([H])[H])C([H])([H])C([H])([H])N([H])[H],"InChI=1S/C9H13NO2/c1-12-9-6-7(4-5-10)2-3-8(9)11/h2-3,6,11H,4-5,10H2,1H3",Benzenoids,Phenols,Methoxyphenols,NA
HMDB0000023,3hmp_c,HMDB0000023_c,3-Hydroxy-2-Methylpropanoate,C4H7O3,[H]OC([H])([H])[C@@]([H])(C([O-])=O)C([H])([H])[H],"InChI=1/C4H8O3/c1-3(2-5)4(6)7/h3,5H,2H2,1H3,(H,6,7)/p-1/t3-/s2",Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,440873
HMDB0000023,3hmp_m,HMDB0000023_m,3-Hydroxy-2-Methylpropanoate,C4H7O3,[H]OC([H])([H])[C@@]([H])(C([O-])=O)C([H])([H])[H],"InChI=1/C4H8O3/c1-3(2-5)4(6)7/h3,5H,2H2,1H3,(H,6,7)/p-1/t3-/s2",Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,440873
HMDB0000023,3hmp_e,HMDB0000023_e,3-Hydroxy-2-Methylpropanoate,C4H7O3,[H]OC([H])([H])[C@@]([H])(C([O-])=O)C([H])([H])[H],"InChI=1/C4H8O3/c1-3(2-5)4(6)7/h3,5H,2H2,1H3,(H,6,7)/p-1/t3-/s2",Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,440873
HMDB0000026,cala_e,HMDB0000026_e,N-Carbamoyl-Beta-Alaninate,C4H7N2O3,[H]N([H])C(=O)N([H])C([H])([H])C([H])([H])C([O-])=O,"InChI=1S/C4H8N2O3/c5-4(9)6-2-1-3(7)8/h1-2H2,(H,7,8)(H3,5,6,9)/p-1",Organic acids and derivatives,Organic carbonic acids and derivatives,Ureas,111
HMDB0000026,cala_c,HMDB0000026_c,N-Carbamoyl-Beta-Alaninate,C4H7N2O3,[H]N([H])C(=O)N([H])C([H])([H])C([H])([H])C([O-])=O,"InChI=1S/C4H8N2O3/c5-4(9)6-2-1-3(7)8/h1-2H2,(H,7,8)(H3,5,6,9)/p-1",Organic acids and derivatives,Organic carbonic acids and derivatives,Ureas,111
HMDB0000030,btn_c,HMDB0000030_c,Biotin,C10H15N2O3S,[H]N1C(=O)N([H])[C@]2([H])[C@@]([H])(SC([H])([H])[C@]12[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([O-])=O,"InChI=1S/C10H16N2O3S/c13-8(14)4-2-1-3-7-9-6(5-16-7)11-10(15)12-9/h6-7,9H,1-5H2,(H,13,14)(H2,11,12,15)/p-1/t6-,7-,9-/m0/s1",Organoheterocyclic compounds,Biotin and derivatives,NA,171548
HMDB0000030,btn_m,HMDB0000030_m,Biotin,C10H15N2O3S,[H]N1C(=O)N([H])[C@]2([H])[C@@]([H])(SC([H])([H])[C@]12[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([O-])=O,"InChI=1S/C10H16N2O3S/c13-8(14)4-2-1-3-7-9-6(5-16-7)11-10(15)12-9/h6-7,9H,1-5H2,(H,13,14)(H2,11,12,15)/p-1/t6-,7-,9-/m0/s1",Organoheterocyclic compounds,Biotin and derivatives,NA,171548
HMDB0000030,btn_e,HMDB0000030_e,Biotin,C10H15N2O3S,[H]N1C(=O)N([H])[C@]2([H])[C@@]([H])(SC([H])([H])[C@]12[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([O-])=O,"InChI=1S/C10H16N2O3S/c13-8(14)4-2-1-3-7-9-6(5-16-7)11-10(15)12-9/h6-7,9H,1-5H2,(H,13,14)(H2,11,12,15)/p-1/t6-,7-,9-/m0/s1",Organoheterocyclic compounds,Biotin and derivatives,NA,171548
HMDB0000030,btn_n,HMDB0000030_n,Biotin,C10H15N2O3S,[H]N1C(=O)N([H])[C@]2([H])[C@@]([H])(SC([H])([H])[C@]12[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([O-])=O,"InChI=1S/C10H16N2O3S/c13-8(14)4-2-1-3-7-9-6(5-16-7)11-10(15)12-9/h6-7,9H,1-5H2,(H,13,14)(H2,11,12,15)/p-1/t6-,7-,9-/m0/s1",Organoheterocyclic compounds,Biotin and derivatives,NA,171548
HMDB0000031,andrstrn_e,HMDB0000031_e,Androsterone,C19H30O2,[H]O[C@]1([H])C([H])([H])C([H])([H])[C@@]2(C([H])([H])[H])[C@@]([H])(C([H])([H])C([H])([H])[C@@]3([H])[C@]4([H])C([H])([H])C([H])([H])C(=O)[C@@]4(C([H])([H])[H])C([H])([H])C([H])([H])[C@]23[H])C1([H])[H],"InChI=1S/C19H30O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h12-16,20H,3-11H2,1-2H3/t12-,13+,14-,15-,16-,18-,19-/m0/s1",Lipids and lipid-like molecules,Steroids and steroid derivatives,Androstane steroids,5879
HMDB0000031,andrstrn_c,HMDB0000031_c,Androsterone,C19H30O2,[H]O[C@]1([H])C([H])([H])C([H])([H])[C@@]2(C([H])([H])[H])[C@@]([H])(C([H])([H])C([H])([H])[C@@]3([H])[C@]4([H])C([H])([H])C([H])([H])C(=O)[C@@]4(C([H])([H])[H])C([H])([H])C([H])([H])[C@]23[H])C1([H])[H],"InChI=1S/C19H30O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h12-16,20H,3-11H2,1-2H3/t12-,13+,14-,15-,16-,18-,19-/m0/s1",Lipids and lipid-like molecules,Steroids and steroid derivatives,Androstane steroids,5879
HMDB0000031,andrstrn_r,HMDB0000031_r,Androsterone,C19H30O2,[H]O[C@]1([H])C([H])([H])C([H])([H])[C@@]2(C([H])([H])[H])[C@@]([H])(C([H])([H])C([H])([H])[C@@]3([H])[C@]4([H])C([H])([H])C([H])([H])C(=O)[C@@]4(C([H])([H])[H])C([H])([H])C([H])([H])[C@]23[H])C1([H])[H],"InChI=1S/C19H30O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h12-16,20H,3-11H2,1-2H3/t12-,13+,14-,15-,16-,18-,19-/m0/s1",Lipids and lipid-like molecules,Steroids and steroid derivatives,Androstane steroids,5879
HMDB0000032,7dhchsterol_r,HMDB0000032_r,"Cholesta-5,7-Dien-3Beta-Ol",C27H44O,[H]O[C@]1([H])C([H])([H])C2=C([H])C([H])=C3[C@]4([H])C([H])([H])C([H])([H])[C@]([H])([C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])[C@@]4(C([H])([H])[H])C([H])([H])C([H])([H])[C@]3([H])[C@@]2(C([H])([H])[H])C([H])([H])C1([H])[H],"InChI=1S/C27H44O/c1-18(2)7-6-8-19(3)23-11-12-24-22-10-9-20-17-21(28)13-15-26(20,4)25(22)14-16-27(23,24)5/h9-10,18-19,21,23-25,28H,6-8,11-17H2,1-5H3/t19-,21+,23-,24+,25+,26+,27-/m1/s1",Lipids and lipid-like molecules,Steroids and steroid derivatives,Cholestane steroids,NA
HMDB0000032,7dhchsterol_c,HMDB0000032_c,"Cholesta-5,7-Dien-3Beta-Ol",C27H44O,[H]O[C@]1([H])C([H])([H])C2=C([H])C([H])=C3[C@]4([H])C([H])([H])C([H])([H])[C@]([H])([C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])[C@@]4(C([H])([H])[H])C([H])([H])C([H])([H])[C@]3([H])[C@@]2(C([H])([H])[H])C([H])([H])C1([H])[H],"InChI=1S/C27H44O/c1-18(2)7-6-8-19(3)23-11-12-24-22-10-9-20-17-21(28)13-15-26(20,4)25(22)14-16-27(23,24)5/h9-10,18-19,21,23-25,28H,6-8,11-17H2,1-5H3/t19-,21+,23-,24+,25+,26+,27-/m1/s1",Lipids and lipid-like molecules,Steroids and steroid derivatives,Cholestane steroids,NA
HMDB0000032,7dhchsterol_e,HMDB0000032_e,"Cholesta-5,7-Dien-3Beta-Ol",C27H44O,[H]O[C@]1([H])C([H])([H])C2=C([H])C([H])=C3[C@]4([H])C([H])([H])C([H])([H])[C@]([H])([C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])[C@@]4(C([H])([H])[H])C([H])([H])C([H])([H])[C@]3([H])[C@@]2(C([H])([H])[H])C([H])([H])C1([H])[H],"InChI=1S/C27H44O/c1-18(2)7-6-8-19(3)23-11-12-24-22-10-9-20-17-21(28)13-15-26(20,4)25(22)14-16-27(23,24)5/h9-10,18-19,21,23-25,28H,6-8,11-17H2,1-5H3/t19-,21+,23-,24+,25+,26+,27-/m1/s1",Lipids and lipid-like molecules,Steroids and steroid derivatives,Cholestane steroids,NA
HMDB0000033,carn_e,HMDB0000033_e,Carnosine,C9H14N4O3,[H]N(C(=O)C([H])([H])C([H])([H])[N+]([H])([H])[H])[C@]([H])(C([O-])=O)C([H])([H])C1=C([H])N([H])C([H])=N1,"InChI=1S/C9H14N4O3/c10-2-1-8(14)13-7(9(15)16)3-6-4-11-5-12-6/h4-5,7H,1-3,10H2,(H,11,12)(H,13,14)(H,15,16)/t7-/m0/s1",Organic acids and derivatives,Peptidomimetics,Hybrid peptides,NA
HMDB0000033,carn_c,HMDB0000033_c,Carnosine,C9H14N4O3,[H]N(C(=O)C([H])([H])C([H])([H])[N+]([H])([H])[H])[C@]([H])(C([O-])=O)C([H])([H])C1=C([H])N([H])C([H])=N1,"InChI=1S/C9H14N4O3/c10-2-1-8(14)13-7(9(15)16)3-6-4-11-5-12-6/h4-5,7H,1-3,10H2,(H,11,12)(H,13,14)(H,15,16)/t7-/m0/s1",Organic acids and derivatives,Peptidomimetics,Hybrid peptides,NA
HMDB0000034,ade_e,HMDB0000034_e,Adenine,C5H5N5,[H]N([H])C1=C2N=C([H])N([H])C2=NC([H])=N1,"InChI=1S/C5H5N5/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H3,6,7,8,9,10)",Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,190
HMDB0000034,ade_c,HMDB0000034_c,Adenine,C5H5N5,[H]N([H])C1=C2N=C([H])N([H])C2=NC([H])=N1,"InChI=1S/C5H5N5/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H3,6,7,8,9,10)",Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,190
